Description,Values
SIMPLE,101286
DOMESTIC BATTERY SIMPLE,83565
$500 AND UNDER,83060
OVER $500,51847
TO VEHICLE,50449
TO PROPERTY,46879
FROM BUILDING,36443
RETAIL THEFT,34924
AUTOMOBILE,31750
FORCIBLE ENTRY,25223
AGGRAVATED: HANDGUN,17405
FINANCIAL IDENTITY THEFT OVER $ 300,16689
UNLAWFUL ENTRY,14970
CREDIT CARD FRAUD,14008
ARMED: HANDGUN,13956
TELEPHONE THREAT,13836
TO LAND,13387
UNLAWFUL POSS OF HANDGUN,11555
STRONGARM - NO WEAPON,11493
AGGRAVATED: OTHER DANG WEAPON,10111
HARASSMENT BY ELECTRONIC MEANS,9621
HARASSMENT BY TELEPHONE,9605
AGGRAVATED:KNIFE/CUTTING INSTR,8229
POSS: HEROIN(WHITE),8059
POCKET-PICKING,7714
POSS: CANNABIS 30GMS OR LESS,7315
FRAUD OR CONFIDENCE GAME,6828
VIOLATE ORDER OF PROTECTION,5759
FINANCIAL IDENTITY THEFT $300 AND UNDER,5341
ILLEGAL USE CASH CARD,5341
OTHER VEHICLE OFFENSE,4847
PRO EMP HANDS NO/MIN INJURY,4767
TO RESIDENCE,4658
POSS: CRACK,4055
AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,3936
MANU/DELIVER: HEROIN (WHITE),3822
NON-AGGRAVATED,3682
RECKLESS CONDUCT,3504
FOUND SUSPECT NARCOTICS,3327
CRIMINAL DEFACEMENT,3153
THEFT OF LABOR/SERVICES,3058
FALSE/STOLEN/ALTERED TRP,2989
AGG PO HANDS NO/MIN INJURY,2941
MANU/DEL:CANNABIS OVER 10 GMS,2657
POSS: CANNABIS MORE THAN 30GMS,2656
AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,2551
COUNTERFEITING DOCUMENT,2535
OBSTRUCTING IDENTIFICATION,2484
CHILD ABUSE,2482
AGGRAVATED,2463
FIRST DEGREE MURDER,2257
VEHICLE TITLE/REG OFFENSE,2237
THEFT/RECOVERY: AUTOMOBILE,2218
SOLICIT ON PUBLIC WAY,2210
PURSE-SNATCHING,2089
MANU/DEL:CANNABIS 10GM OR LESS,2077
ATTEMPT - FINANCIAL IDENTITY THEFT,2066
ATTEMPT FORCIBLE ENTRY,2017
TO STATE SUP LAND,1900
TO CITY OF CHICAGO PROPERTY,1857
POSS: COCAINE,1807
MANU/DELIVER:CRACK,1721
COUNTERFEIT CHECK,1698
FORGERY,1678
LICENSE VIOLATION,1654
