ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11317,11317,11148,5477,190,25,178,1,2,2,293,22,50,77,24,7905,8291,19,296,9333,9333,9333,50,59,77,675,50,59,22,269
656,656,651,151,42,11,40,1,2,2,26,12,16,17,11,157,158,10,95,160,160,160,17,20,17,25,18,18,13,27
859,859,840,66,69,15,66,1,2,2,15,9,9,9,15,112,112,11,155,112,112,112,9,13,10,16,10,11,8,15
574,574,570,68,54,16,52,1,2,2,12,8,8,8,14,102,102,11,101,102,102,102,6,9,6,10,6,7,5,11
782,782,771,86,78,18,71,1,2,2,13,6,6,10,17,147,146,11,128,147,147,147,6,11,7,13,8,8,5,13
283,283,282,69,40,13,38,1,2,2,13,6,7,9,13,102,102,11,47,102,102,102,7,9,7,11,7,7,5,12
728,728,717,73,54,13,52,1,2,2,21,11,13,15,14,128,126,12,93,128,128,128,11,12,11,22,11,10,8,19
1684,1684,1679,56,71,20,66,1,2,2,12,5,6,8,18,73,74,11,176,74,74,74,6,6,8,10,6,6,5,11
639,639,636,74,56,17,55,1,2,2,11,5,7,8,15,73,75,11,105,75,75,75,7,7,8,11,7,7,5,13
82,82,81,11,26,11,25,1,2,2,7,3,3,3,11,15,15,11,17,15,15,15,3,3,3,3,4,4,3,7
706,706,703,53,58,16,56,1,2,2,10,5,6,6,15,61,62,11,119,62,62,62,5,7,6,5,6,6,5,9
3964,3964,3943,184,84,18,80,1,2,2,10,4,6,6,17,183,186,12,256,190,190,190,6,7,6,7,6,6,5,9
90,90,89,22,20,10,19,1,2,1,11,6,7,7,10,25,25,10,16,25,25,25,7,7,7,7,7,7,6,11
895,895,861,80,51,14,49,1,2,2,36,14,23,25,12,105,105,11,63,105,105,105,22,23,25,36,24,21,14,35
16110,16110,15693,265,163,22,155,1,2,2,65,22,32,40,23,340,340,19,58,347,347,347,34,40,43,91,36,37,22,67
153588,153580,146797,27418,309,31,288,1,2,2,300,23,50,78,24,46052,63294,19,910,108970,108970,108992,52,74,77,799,50,61,24,273
787,787,787,563,79,19,77,1,2,2,240,22,50,72,22,571,571,18,60,573,573,573,50,52,72,352,50,52,22,226
718697,718645,537081,30783,338,35,317,1,2,2,298,23,50,77,26,53527,79158,19,1843,171943,171910,171997,51,74,77,798,50,61,23,271
1845,1845,1839,888,94,18,89,1,2,2,254,22,50,71,20,1030,1028,19,106,1049,1049,1049,50,58,73,457,50,55,22,245
8360,8360,8075,1059,102,23,100,1,2,2,253,22,50,76,21,1455,1453,19,351,1526,1526,1526,51,63,76,415,50,58,23,227
7752,7752,7456,2390,68,13,65,1,2,2,297,22,50,77,16,3179,3270,18,327,3410,3409,3410,51,67,77,691,50,60,23,272
1135,1078,1100,1028,1,1,1,1,2,2,222,21,47,69,1,1061,1061,19,17,1071,1071,1071,48,50,69,400,48,48,21,208
333,333,328,253,58,16,54,1,2,2,151,22,50,63,18,248,251,5,215,251,251,251,48,52,62,187,48,51,22,145
28078,28078,25579,3872,131,25,123,1,2,2,300,23,50,78,24,5496,5699,19,674,6129,6129,6130,51,70,77,744,50,60,23,272
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37366,37366,34347,3474,189,30,173,1,2,2,293,23,50,77,25,6145,6275,19,710,7051,7051,7051,51,66,77,698,50,61,23,268
14,14,14,13,1,1,1,1,2,2,12,8,9,13,1,14,14,12,3,14,14,14,11,11,12,13,11,11,9,12
7843,7843,7754,2317,150,27,141,1,2,2,296,22,50,77,24,3482,3391,19,243,3759,3758,3759,51,66,77,690,50,60,23,269
31,31,31,31,1,1,1,1,2,2,24,16,17,18,1,31,31,14,4,31,31,31,17,17,20,28,19,16,16,24
674,674,657,214,52,18,50,1,2,2,69,20,33,35,17,264,265,19,50,269,269,269,31,36,37,71,30,37,20,59
684,684,674,107,64,18,61,1,2,2,57,20,34,36,19,136,146,19,46,148,148,148,34,31,36,72,35,32,19,53
389,389,388,285,66,18,61,1,2,2,113,22,42,57,18,332,338,19,31,344,344,344,43,47,58,143,43,48,22,111
2850,2849,2838,670,132,24,125,1,2,2,217,23,50,71,25,1000,999,19,143,1052,1052,1052,51,55,72,360,50,53,23,213
354,354,351,75,48,16,45,1,2,2,28,14,17,20,16,92,94,19,23,96,96,96,20,25,20,41,20,20,15,32
36410,36410,35691,2111,237,27,220,1,2,2,265,22,50,71,25,5862,6016,19,481,7948,7949,7949,50,53,72,476,50,53,22,238
3,3,3,3,1,1,1,1,2,1,3,2,1,2,1,3,3,3,1,3,3,3,1,3,2,3,1,2,2,3
2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
42,40,41,36,1,1,1,1,2,1,18,11,9,11,1,37,37,11,4,37,37,37,10,13,12,22,10,12,11,16
35,33,35,28,1,1,1,1,2,2,12,6,4,6,1,27,27,9,4,27,27,27,4,8,6,14,5,7,6,12
24913,24913,24239,1101,197,24,179,1,2,2,223,22,45,60,23,1921,2044,19,172,2200,2200,2200,47,53,60,338,45,52,22,204
6,6,6,5,1,1,1,1,2,1,3,3,2,2,1,5,5,3,2,5,5,5,3,3,3,3,3,3,3,3
42,42,42,36,1,1,1,1,2,2,18,11,12,12,1,40,40,19,4,42,42,42,11,13,12,19,12,13,11,17
